unit_code,program,do_tuoi,level,sub_level,unit_type,assessment,sessions,duration_month,thoi_luong_buoi_phut,order_global,topic_no,chu_de,bai_hoc,tu_duy_khai_niem_dat_duoc,ghi_chu
Q3,Bright I.G,Lớp 1–2 (6–7 tuổi),Q,Q-3,LESSON,Thi giữa kỳ,4,1,110,55,2,Trốn tìm,Hình học,Khám phá các hình khối bằng cách lật và xoay,
U1,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-1,LESSON,,4,1,110,57,1,Hành tinh kiểu mẫu,Kiểu mẫu và giải quyết vấn đề,Kiểu mẫu ghép trên đường thẳng và đường tròn; Dự đoán đối tượng tiếp theo trong một kiểu mẫu,
U1,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-1,LESSON,,4,1,110,57,2,Cuộc săn tìm kho báu của Tiny và Red,Hình học,Sự đối xứng của các hình khối và hình ảnh của các hình sau khi xoay; Giải đố bằng cách sử dụng tính đối xứng và phép xoay,
U2,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-2,LESSON,,4,1,110,58,1,Sue thích gì,Lý luận logic,Các thuộc tính chung của một dãy; Các vấn đề logic và câu đố logic,
U2,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-2,LESSON,,4,1,110,58,2,Họ đã nhìn thấy như thế nào,Nhận thức về không gian,Mối quan hệ không gian; Quan sát các hình khối 3D từ những hướng khác nhau,
U3,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-3,LESSON,,4,1,110,59,1,Tính toán vui vẻ,Con số và các phép toán,Phép cộng và phép trừ; Các trò chơi và câu đố về phép cộng/phép trừ,
U3,Bright I.G,Lớp 1–2 (6–7 tuổi),U,U-3,LESSON,Thi cuối kỳ,4,1,110,59,2,Chuẩn bị cho bữa tiệc vui vẻ,Kiểu mẫu và giải quyết vấn đề,Giải quyết các câu đố về logic và không gian khác nhau,
G11,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,61,1,Các khối thuộc tính,Kiểu mẫu và giải toán,Quy tắc nhóm,
G11,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,61,2,Nguyên tắc của phép nhân,Con số và các phép toán,Phép nhân,
G11,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,61,3,Các khối kiểu mẫu,Hình học,Hình phẳng cơ bản,
G11,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,61,4,Trò chơi Sudoku,Trò chơi và câu đố,Lập luận giải quyết vấn đề,
G12,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,62,1,Số và biểu diễn số,Con số và các phép tính,Giá trị của chữ số theo vị trí,
G12,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,62,2,Phép chia,Con số và các phép tính,Phép nhân và phép chia,
G12,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,62,3,Xếp hình Tetromino,Hình học,Các hình phẳng cơ bản,
G12,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,62,4,Chuyến dã ngoại của nhà Gấu,Kiểu mẫu và giải toán,Tìm đúng vị trí,
G13,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,63,1,Phép cộng: Hàng ngang và Cột dọc,Con số và các phép toán,Kết hợp và phân tách các con số,
G13,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,63,2,Vòng đeo cổ,Kiểu mẫu và giải toán,Nguyên tắc kiểu mẫu,
G13,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,,4,1,110,63,3,Tam giác và tứ giác,Hình học,Các hình phẳng cơ bản,
G13,Black Hole,7–11 tuổi (Lớp 2–5),G,G1,LESSON,Thi giữa kỳ,4,1,110,63,4,Giống như là,Trò chơi và câu đố,Bất phương trình,
G21,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,64,1,Có bao nhiêu cách?,Lý luận & Xác suất & Số liệu,Xác suất cơ bản,
G21,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,64,2,Bảng nhân I,Con số và các phép toán,Bảng phép nhân,
G21,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,64,3,Trò chơi dự đoán,Kiểu mẫu và giải toán,Dự đoán theo logic,
G21,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,64,4,Giải cứu Binh nhì Black,Trò chơi và câu đố,Trò chơi Nhiệm vụ giải cứu,
G22,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,65,1,"Mặt trời, Mặt trăng và các Vì sao",Kiểu mẫu và giải toán,Kiểu mẫu hình,
G22,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,65,2,Hình phẳng,Hình học,Góc và hình phẳng,
G22,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,65,3,Trò chơi dự đoán kép,Kiểu mẫu và giải toán,Quy tắc nhóm,
G22,Black Hole,7–11 tuổi (Lớp 2–5),G,G2,LESSON,,4,1,110,65,4,Tôi là ai?,Lý luận & Xác suất & Số liệu,Giải toán bằng cách lập bảng,
